 	csharp 	go 	java 	javascript 	php 	python 	ruby
count 	48.0 	48.000000 	48.000000 	46.000000 	44.000000 	47.000000 	48.000000
mean 	0.0 	25.422917 	277.804167 	4.069565 	573.150000 	43.642553 	26.904167
std 	0.0 	2.033469 	211.444685 	2.499499 	49.895372 	2.451862 	1.274289
min 	0.0 	22.900000 	10.000000 	2.000000 	349.900000 	35.800000 	24.400000
25% 	0.0 	23.675000 	176.775000 	2.200000 	579.525000 	42.450000 	26.075000
50% 	0.0 	25.850000 	182.150000 	2.300000 	585.350000 	43.500000 	26.300000
75% 	0.0 	26.325000 	488.075000 	6.175000 	588.300000 	45.050000 	28.200000
max 	0.0 	31.500000 	805.200000 	10.300000 	618.700000 	49.300000 	30.000000
