 	csharp 	go 	java 	javascript 	php 	python 	ruby
count 	48.000000 	48.000000 	48.000000 	46.000000 	46.000000 	48.000000 	47.000000
mean 	200.943750 	16.797917 	76.214583 	47.780435 	573.058696 	144.358333 	2022.700000
std 	31.440257 	1.535604 	10.809668 	9.783106 	148.646243 	20.762946 	289.013436
min 	73.500000 	14.900000 	24.100000 	2.300000 	6.100000 	7.700000 	635.800000
25% 	195.650000 	15.275000 	74.775000 	40.775000 	553.500000 	145.675000 	2074.050000
50% 	198.550000 	17.200000 	76.500000 	51.350000 	589.650000 	147.650000 	2112.500000
75% 	202.725000 	17.425000 	79.600000 	53.750000 	636.675000 	149.800000 	2120.150000
max 	365.000000 	19.900000 	93.100000 	60.500000 	795.400000 	158.300000 	2379.800000
