 	csharp 	go 	java 	javascript 	php 	python 	ruby
count 	48.000000 	48.000000 	40.000000 	45.000000 	48.000000 	47.000000 	48.000000
mean 	380.960417 	16.631250 	260.825000 	49.517778 	45.920833 	111.927660 	97.745833
std 	60.453287 	1.373326 	215.850549 	20.850859 	2.256712 	13.354314 	3.388903
min 	295.200000 	14.900000 	1.900000 	2.200000 	40.400000 	31.600000 	81.800000
25% 	367.175000 	15.200000 	3.875000 	50.800000 	44.800000 	112.650000 	96.400000
50% 	370.200000 	17.150000 	427.600000 	53.500000 	45.850000 	114.500000 	98.150000
75% 	375.575000 	17.425000 	450.250000 	54.700000 	47.575000 	115.400000 	99.525000
max 	762.100000 	19.400000 	492.700000 	123.100000 	50.700000 	127.100000 	104.900000
