 	csharp 	go 	java 	javascript 	php 	python 	ruby
count 	34.000000 	34.000000 	34.000000 	34.000000 	34.000000 	32.000000 	34.000000
mean 	1797.476471 	413.597059 	1565.070588 	175.617647 	34812.705882 	2162.765625 	13024.461765
std 	73.912262 	22.327962 	120.544654 	46.007987 	1219.391283 	50.276222 	2796.825984
min 	1579.600000 	383.500000 	942.200000 	80.300000 	29368.900000 	2049.000000 	2385.100000
25% 	1778.850000 	391.300000 	1560.550000 	165.925000 	34548.225000 	2141.275000 	13054.475000
50% 	1801.450000 	414.650000 	1583.850000 	171.450000 	35018.500000 	2164.150000 	13183.300000
75% 	1830.225000 	418.725000 	1609.450000 	196.100000 	35424.425000 	2191.425000 	13306.250000
max 	1918.400000 	462.500000 	1700.900000 	314.100000 	36235.200000 	2264.900000 	16111.700000
