 	csharp 	go 	java 	javascript 	php 	python 	ruby
count 	34.000000 	34.000000 	34.000000 	25.000000 	34.000000 	34.000000 	34.000000
mean 	699.688235 	517.344118 	6440.220588 	37.976000 	12760.558824 	949.635294 	922.041176
std 	125.210177 	34.033978 	9687.999755 	22.292885 	1988.403406 	71.543722 	157.250116
min 	43.200000 	453.500000 	1020.100000 	25.900000 	2884.700000 	648.300000 	79.700000
25% 	677.175000 	489.150000 	1122.200000 	26.800000 	12766.550000 	927.700000 	934.950000
50% 	719.550000 	525.900000 	1169.450000 	27.000000 	12834.400000 	956.750000 	958.600000
75% 	737.300000 	535.225000 	1278.400000 	27.400000 	12978.300000 	989.750000 	966.550000
max 	815.500000 	570.500000 	23868.100000 	101.100000 	14492.500000 	1038.100000 	993.900000
