 	csharp 	go 	java 	javascript 	php 	python 	ruby
count 	50.000000 	50.00000 	50.000000 	41.000000 	50.000000 	50.000000 	50.000000
mean 	495.804000 	532.32400 	7432.830000 	39.802439 	21554.088000 	967.658000 	1037.406000
std 	68.963628 	34.78328 	10659.389596 	17.610856 	3968.515649 	73.781631 	34.764604
min 	54.800000 	445.30000 	1108.300000 	26.800000 	1770.000000 	612.300000 	893.800000
25% 	489.750000 	514.67500 	1211.800000 	28.000000 	22387.650000 	946.375000 	1028.775000
50% 	505.600000 	529.05000 	1256.500000 	28.200000 	22560.900000 	974.750000 	1036.400000
75% 	522.150000 	553.25000 	9537.225000 	43.200000 	22648.350000 	1011.250000 	1058.850000
max 	557.700000 	680.20000 	26445.600000 	82.700000 	22797.000000 	1071.500000 	1084.000000
