 	csharp 	go 	java 	javascript 	php 	python 	ruby
count 	50.000000 	50.000000 	44.000000 	50.000000 	50.000000 	50.000000 	50.00000
mean 	1018.994000 	385.730000 	15393.647727 	238.690000 	2451.736000 	1988.830000 	1456.54400
std 	33.047161 	29.630564 	12261.860385 	47.959538 	238.803703 	137.039423 	45.61194
min 	938.000000 	279.400000 	27.100000 	123.700000 	1172.400000 	1590.100000 	1311.70000
25% 	993.625000 	370.250000 	62.425000 	215.425000 	2356.200000 	1897.975000 	1430.17500
50% 	1020.900000 	392.850000 	24889.500000 	241.250000 	2471.600000 	1998.650000 	1447.35000
75% 	1045.475000 	404.325000 	25104.050000 	245.225000 	2579.325000 	2093.675000 	1466.37500
max 	1075.000000 	433.400000 	25337.000000 	386.400000 	2891.300000 	2263.700000 	1569.50000
