 	csharp 	go 	java 	javascript 	php 	python 	ruby
count 	38.000000 	38.000000 	30.000000 	32.000000 	38.000000 	36.000000 	35.000000
mean 	297.247368 	15.523684 	218.806667 	54.468750 	40.076316 	110.452778 	96.211429
std 	28.825727 	1.301441 	227.076524 	12.258938 	2.113590 	6.817561 	1.885981
min 	142.200000 	13.500000 	1.700000 	1.700000 	36.800000 	105.500000 	93.000000
25% 	293.750000 	14.200000 	3.625000 	52.850000 	38.525000 	107.775000 	94.550000
50% 	298.950000 	15.700000 	60.450000 	53.900000 	39.850000 	109.050000 	96.100000
75% 	302.925000 	16.100000 	457.375000 	55.225000 	41.900000 	110.600000 	97.550000
max 	337.900000 	18.500000 	490.600000 	80.400000 	43.700000 	148.000000 	99.700000
